alpha,attack_type,system,variant,accuracy,seed
0.05,gaussian_noise,Random,,0.7304999999999999,45
0.05,gaussian_noise,Oracle (decoupled),,0.7571000000000001,45
0.05,gaussian_noise,GRADF,shared (own),0.2857999999999999,45
0.05,gaussian_noise,FedStrategist,b,0.4301999999999999,45
0.05,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8048,45
0.05,label_flipping,Random,,0.6773,45
0.05,label_flipping,Oracle (decoupled),,0.6673,45
0.05,label_flipping,GRADF,shared (own),0.0314,45
0.05,label_flipping,FedStrategist,b,0.4373999999999999,45
0.05,label_flipping,AdaAggRL,own (gradient-inversion),0.7628999999999999,45
0.5,fltrust_aligned,Random,,0.8826,46
0.5,fltrust_aligned,Oracle (decoupled),,0.8789,46
0.5,fltrust_aligned,GRADF,shared (own),0.8944000000000001,46
0.5,fltrust_aligned,FedStrategist,b,0.8887,46
0.5,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.8421,46
0.5,trim_attack,Random,,0.8695,46
0.5,trim_attack,Oracle (decoupled),,0.8443999999999999,46
0.5,trim_attack,GRADF,shared (own),0.7524,46
0.5,trim_attack,FedStrategist,b,0.8602000000000001,46
0.5,trim_attack,AdaAggRL,own (gradient-inversion),0.8823000000000001,46
0.5,krum_collusion,Random,,0.8827,46
0.5,krum_collusion,Oracle (decoupled),,0.8873,46
0.5,krum_collusion,GRADF,shared (own),0.8785999999999999,46
0.5,krum_collusion,FedStrategist,b,0.8693,46
0.5,krum_collusion,AdaAggRL,own (gradient-inversion),0.8823000000000001,46
0.5,low_mag_backdoor,Random,,0.8936999999999999,46
0.5,low_mag_backdoor,Oracle (decoupled),,0.9032,46
0.5,low_mag_backdoor,GRADF,shared (own),0.901,46
0.5,low_mag_backdoor,FedStrategist,b,0.9008,46
0.5,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.8797,46
0.5,sign_flipping,Random,,0.8613,46
0.5,sign_flipping,Oracle (decoupled),,0.8881,46
0.5,sign_flipping,GRADF,shared (own),0.8741,46
0.5,sign_flipping,FedStrategist,b,0.8272,46
0.5,sign_flipping,AdaAggRL,own (gradient-inversion),0.8394999999999999,46
0.5,gaussian_noise,Random,,0.8815,46
0.5,gaussian_noise,Oracle (decoupled),,0.8946000000000002,46
0.5,gaussian_noise,GRADF,shared (own),0.8741999999999999,46
0.5,gaussian_noise,FedStrategist,b,0.7735000000000001,46
0.5,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8958999999999999,46
0.5,label_flipping,Random,,0.881,46
0.5,label_flipping,Oracle (decoupled),,0.8966999999999998,46
0.5,label_flipping,GRADF,shared (own),0.8089000000000001,46
0.5,label_flipping,FedStrategist,b,0.8766,46
