alpha,attack_type,system,accuracy,seed
0.05,low_mag_backdoor,Random,0.8023,46
0.05,sign_flipping,Random,0.5654999999999999,46
0.05,gaussian_noise,Random,0.7110999999999998,46
0.05,label_flipping,Random,0.6822,46
0.5,fltrust_aligned,Random,0.8869,47
0.5,trim_attack,Random,0.8198000000000001,47
0.5,krum_collusion,Random,0.8782,47
0.5,low_mag_backdoor,Random,0.9005000000000001,47
0.5,sign_flipping,Random,0.8323,47
0.5,gaussian_noise,Random,0.8934000000000001,47
0.5,label_flipping,Random,0.8535,47
0.1,fltrust_aligned,Random,0.8093,47
0.1,trim_attack,Random,0.6023999999999999,47
0.1,krum_collusion,Random,0.6861,47
0.1,low_mag_backdoor,Random,0.8713999999999998,47
0.1,sign_flipping,Random,0.5945,47
0.1,gaussian_noise,Random,0.7913,47
0.1,label_flipping,Random,0.7476,47
0.05,fltrust_aligned,Random,0.748,47
0.05,trim_attack,Random,0.7083,47
0.05,krum_collusion,Random,0.6533,47
0.05,low_mag_backdoor,Random,0.8362,47
0.05,sign_flipping,Random,0.5705,47
0.05,gaussian_noise,Random,0.7506999999999999,47
0.05,label_flipping,Random,0.6771,47
0.5,fltrust_aligned,Random,0.8792000000000002,48
0.5,trim_attack,Random,0.8606,48
0.5,krum_collusion,Random,0.8646,48
0.5,low_mag_backdoor,Random,0.8937000000000002,48
0.5,sign_flipping,Random,0.8655999999999999,48
0.5,gaussian_noise,Random,0.8920000000000001,48
0.5,label_flipping,Random,0.8780999999999999,48
0.1,fltrust_aligned,Random,0.8013,48
0.1,trim_attack,Random,0.6902000000000001,48
0.1,krum_collusion,Random,0.6354,48
0.1,low_mag_backdoor,Random,0.8140000000000001,48
0.1,sign_flipping,Random,0.6984,48
0.1,gaussian_noise,Random,0.7921,48
0.1,label_flipping,Random,0.7418,48
0.05,fltrust_aligned,Random,0.7465,48
0.05,trim_attack,Random,0.5853999999999999,48
0.05,krum_collusion,Random,0.6444000000000001,48
0.05,low_mag_backdoor,Random,0.8432999999999999,48
0.05,sign_flipping,Random,0.5839,48
0.05,gaussian_noise,Random,0.7310999999999999,48
0.05,label_flipping,Random,0.6827000000000001,48
0.5,fltrust_aligned,Random,0.875,49
0.5,trim_attack,Random,0.8573999999999999,49
0.5,krum_collusion,Random,0.8572999999999998,49
0.5,low_mag_backdoor,Random,0.8769,49
0.5,sign_flipping,Random,0.8047000000000001,49
0.5,gaussian_noise,Random,0.8920999999999999,49
0.5,label_flipping,Random,0.8614,49
0.1,fltrust_aligned,Random,0.6984,49
0.1,trim_attack,Random,0.5807,49
0.1,krum_collusion,Random,0.6616,49
0.1,low_mag_backdoor,Random,0.8719000000000001,49
0.1,sign_flipping,Random,0.5827,49
0.1,gaussian_noise,Random,0.7828,49
0.1,label_flipping,Random,0.7087999999999999,49
0.05,fltrust_aligned,Random,0.7510000000000001,49
0.05,trim_attack,Random,0.6738,49
0.05,krum_collusion,Random,0.6176,49
0.05,low_mag_backdoor,Random,0.8283999999999999,49
0.05,sign_flipping,Random,0.5454000000000001,49
0.05,gaussian_noise,Random,0.7351,49
0.05,label_flipping,Random,0.6323000000000001,49
0.5,fltrust_aligned,Random,0.8864000000000001,50
0.5,trim_attack,Random,0.8408,50
0.5,krum_collusion,Random,0.8808,50
0.5,low_mag_backdoor,Random,0.8978999999999999,50
0.5,sign_flipping,Random,0.8667999999999999,50
0.5,gaussian_noise,Random,0.8888,50
0.5,label_flipping,Random,0.8811,50
0.1,fltrust_aligned,Random,0.5939,50
0.1,trim_attack,Random,0.7089000000000001,50
0.1,krum_collusion,Random,0.4884,50
0.1,low_mag_backdoor,Random,0.8442999999999999,50
0.1,sign_flipping,Random,0.4683,50
0.1,gaussian_noise,Random,0.752,50
0.1,label_flipping,Random,0.7114,50
0.05,fltrust_aligned,Random,0.7275999999999999,50
0.05,trim_attack,Random,0.6044,50
0.05,krum_collusion,Random,0.5672999999999999,50
0.05,low_mag_backdoor,Random,0.8352,50
0.05,sign_flipping,Random,0.5624,50
0.05,gaussian_noise,Random,0.7331,50
0.05,label_flipping,Random,0.6474,50
0.5,fltrust_aligned,Random,0.8837999999999999,51
0.5,trim_attack,Random,0.8576,51
0.5,krum_collusion,Random,0.8684000000000001,51
0.5,low_mag_backdoor,Random,0.8933,51
0.5,sign_flipping,Random,0.8803000000000001,51
0.5,gaussian_noise,Random,0.8942,51
0.5,label_flipping,Random,0.8667,51
0.1,fltrust_aligned,Random,0.7975000000000001,51
0.1,trim_attack,Random,0.7601000000000001,51
0.1,krum_collusion,Random,0.7030000000000001,51
0.1,low_mag_backdoor,Random,0.8314,51
0.1,sign_flipping,Random,0.7114,51
0.1,gaussian_noise,Random,0.7806,51
0.1,label_flipping,Random,0.716,51
0.05,fltrust_aligned,Random,0.7480999999999999,51
0.05,trim_attack,Random,0.6961999999999999,51
0.05,krum_collusion,Random,0.5639000000000001,51
0.05,low_mag_backdoor,Random,0.8614,51
0.05,sign_flipping,Random,0.6247,51
0.05,gaussian_noise,Random,0.6784,51
0.05,label_flipping,Random,0.6373,51
0.5,fltrust_aligned,BestFixedRule,0.9000000000000001,42
0.5,trim_attack,BestFixedRule,0.8684,42
0.5,krum_collusion,BestFixedRule,0.8863999999999999,42
0.5,low_mag_backdoor,BestFixedRule,0.8979999999999999,42
