alpha,attack_type,system_b,variant_b,accuracy_b,seed,system_a,variant_a,accuracy_a,delta_b_minus_a
0.5,sign_flipping,FedStrategist,b,0.8305,50,FedStrategist,a,0.8013,0.029200000000000004
0.5,gaussian_noise,FedStrategist,b,0.8143,50,FedStrategist,a,0.8016,0.012700000000000045
0.5,label_flipping,FedStrategist,b,0.8789999999999999,50,FedStrategist,a,0.8775000000000001,0.0014999999999998348
0.1,fltrust_aligned,FedStrategist,b,0.7466000000000002,50,FedStrategist,a,0.7475999999999999,-0.0009999999999997788
0.1,trim_attack,FedStrategist,b,0.4636000000000001,50,FedStrategist,a,0.4663,-0.002699999999999869
0.1,krum_collusion,FedStrategist,b,0.645,50,FedStrategist,a,0.65,-0.0050000000000000044
0.1,low_mag_backdoor,FedStrategist,b,0.8530999999999999,50,FedStrategist,a,0.8537999999999999,-0.0007000000000000339
0.1,sign_flipping,FedStrategist,b,0.6969,50,FedStrategist,a,0.6083000000000001,0.0885999999999999
0.1,gaussian_noise,FedStrategist,b,0.6491,50,FedStrategist,a,0.6407,0.008399999999999963
0.1,label_flipping,FedStrategist,b,0.737,50,FedStrategist,a,0.7897,-0.05269999999999997
0.05,fltrust_aligned,FedStrategist,b,0.7398999999999999,50,FedStrategist,a,0.7396,0.00029999999999985594
0.05,trim_attack,FedStrategist,b,0.5489,50,FedStrategist,a,0.367,0.18190000000000006
0.05,krum_collusion,FedStrategist,b,0.6717000000000002,50,FedStrategist,a,0.6785,-0.006799999999999806
0.05,low_mag_backdoor,FedStrategist,b,0.7194999999999999,50,FedStrategist,a,0.7362,-0.016700000000000048
0.05,sign_flipping,FedStrategist,b,0.5546,50,FedStrategist,a,0.5515,0.0030999999999999917
0.05,gaussian_noise,FedStrategist,b,0.5456000000000001,50,FedStrategist,a,0.5461,-0.0004999999999999449
0.05,label_flipping,FedStrategist,b,0.7116,50,FedStrategist,a,0.722,-0.010399999999999965
0.5,fltrust_aligned,FedStrategist,b,0.8888999999999999,51,FedStrategist,a,0.8867,0.0021999999999998687
0.5,trim_attack,FedStrategist,b,0.8640000000000001,51,FedStrategist,a,0.8607999999999999,0.0032000000000002027
0.5,krum_collusion,FedStrategist,b,0.8853,51,FedStrategist,a,0.8766,0.00869999999999993
